Zeit t / s,Spannung U_A1 / V,Spannung U_B1 / V
59.899,0.1125,-0.00435
60.001,0.1135,-0.0075
60.1,0.112,-0.00555
60.2,0.1115,-0.00555
60.301,0.1115,-0.00555
60.4,0.1115,-0.0057
60.499,0.111,-0.00465
60.601,0.111,-0.0057
60.7,0.111,-0.0057
60.8,0.1105,-0.0078
60.9,0.1105,-0.00585
61.001,0.1115,-0.0078
61.099,0.1095,-0.00435
61.201,0.11,-0.006
61.3,0.1095,-0.006
61.4,0.109,-0.00465
61.499,0.1085,-0.0045
61.599,0.1085,-0.0063
61.701,0.109,-0.0063
61.801,0.1085,-0.00645
61.9,0.1085,-0.00645
62.001,0.1085,-0.00825
62.101,0.1085,-0.0084
62.2,0.1075,-0.00495
62.3,0.1075,-0.00675
62.401,0.1075,-0.00855
62.501,0.1075,-0.00855
62.6,0.107,-0.0069
62.7,0.1065,-0.00705
62.8,0.1065,-0.00705
62.9,0.106,-0.0072
63.001,0.106,-0.00885
63.1,0.1055,-0.0072
63.2,0.106,-0.0072
63.3,0.106,-0.0072
63.401,0.1045,-0.00735
63.499,0.1045,-0.00555
63.599,0.1045,-0.0054
63.7,0.105,-0.00735
63.8,0.104,-0.00555
63.9,0.104,-0.00555
64,0.1035,-0.00555
64.1,0.103,-0.0075
64.199,0.103,-0.00555
64.301,0.1035,-0.0096
64.399,0.103,-0.0057
64.501,0.103,-0.0096
64.599,0.1025,-0.0057
64.701,0.103,-0.00975
64.801,0.1025,-0.0099
64.9,0.102,-0.00585
65,0.102,-0.006
65.099,0.1015,-0.006
65.201,0.102,-0.01005
65.3,0.101,-0.00615
65.4,0.1015,-0.00825
65.5,0.1015,-0.00825
65.601,0.101,-0.01035
65.7,0.101,-0.0084
65.8,0.1005,-0.0084
65.9,0.1005,-0.0084
66,0.1005,-0.00855
66.1,0.1,-0.0084
66.2,0.1,-0.00855
66.301,0.1,-0.0087
66.401,0.0995,-0.0108
66.499,0.099,-0.00705
66.599,0.099,-0.00705
66.701,0.0985,-0.01095
66.8,0.0985,-0.00705
66.899,0.0985,-0.00705
67,0.0985,-0.00885
67.101,0.098,-0.01125
67.201,0.098,-0.009
67.3,0.098,-0.0072
67.4,0.098,-0.0072
67.5,0.098,-0.0072
67.6,0.097,-0.00915
67.699,0.0975,-0.00735
67.8,0.097,-0.00915
67.901,0.0965,-0.0093
68,0.097,-0.0075
68.101,0.0965,-0.0093
68.199,0.0955,-0.0057
68.3,0.0965,-0.0075
68.4,0.096,-0.0075
68.5,0.0955,-0.00945
68.6,0.0955,-0.0096
68.7,0.0955,-0.00945
68.801,0.095,-0.01215
68.901,0.095,-0.00975
69,0.0955,-0.0078
69.099,0.094,-0.006
69.199,0.0945,-0.00795
69.301,0.0945,-0.0099
69.4,0.094,-0.01005
69.5,0.094,-0.0081
69.6,0.094,-0.0102
69.699,0.0935,-0.0081
69.8,0.0935,-0.00825
69.9,0.0935,-0.00825
70.001,0.093,-0.01275
70.101,0.0925,-0.0105
70.2,0.093,-0.0084
70.3,0.0925,-0.0129
70.4,0.092,-0.0105
70.5,0.092,-0.00855
70.6,0.092,-0.00855
70.7,0.092,-0.00855
70.8,0.0915,-0.01065
70.9,0.0915,-0.0108
71,0.091,-0.0108
71.101,0.091,-0.01305
71.2,0.091,-0.01095
71.3,0.0905,-0.01095
71.401,0.0905,-0.01305
71.5,0.0905,-0.0087
71.599,0.0905,-0.00705
71.699,0.0905,-0.00885
71.8,0.09,-0.0111
71.9,0.09,-0.00885
72,0.0895,-0.0111
72.103,0.0895,-0.0162
72.201,0.0895,-0.01335
72.299,0.089,-0.009
72.4,0.089,-0.009
72.5,0.089,-0.01125
72.601,0.0885,-0.01125
72.701,0.0885,-0.01125
72.8,0.0885,-0.009
72.899,0.0885,-0.009
72.999,0.088,-0.009
73.101,0.088,-0.0114
73.2,0.0875,-0.0114
73.301,0.0875,-0.01155
73.399,0.087,-0.00735
73.5,0.0875,-0.00915
73.6,0.0875,-0.00915
73.7,0.087,-0.00915
73.799,0.087,-0.0093
73.901,0.0865,-0.0117
73.999,0.087,-0.0075
74.099,0.0865,-0.0093
74.201,0.0865,-0.01395
74.3,0.086,-0.01185
74.4,0.086,-0.0093
74.499,0.085,-0.0075
74.601,0.0855,-0.01185
74.7,0.0855,-0.012
74.8,0.0855,-0.01185
74.901,0.0855,-0.01395
74.999,0.0855,-0.0096
75.1,0.085,-0.012
75.2,0.085,-0.01215
75.3,0.0845,-0.01215
75.401,0.0845,-0.01215
75.5,0.0845,-0.00975
75.6,0.0845,-0.0123
75.701,0.084,-0.0123
75.8,0.084,-0.0099
75.9,0.084,-0.0123
75.999,0.084,-0.0099
76.099,0.084,-0.01005
76.2,0.0835,-0.01245
76.3,0.0835,-0.01245
76.4,0.0835,-0.01005
76.5,0.0835,-0.0102
76.599,0.083,-0.01035
76.7,0.083,-0.01035
76.8,0.0825,-0.01275
76.9,0.0825,-0.01035
77,0.0825,-0.01275
77.1,0.082,-0.01275
77.199,0.082,-0.0105
77.3,0.082,-0.0129
77.399,0.082,-0.0108
77.501,0.082,-0.01305
77.601,0.0815,-0.0147
77.7,0.0815,-0.0108
77.8,0.0815,-0.01305
77.901,0.081,-0.01305
78,0.081,-0.0132
78.101,0.081,-0.01485
78.199,0.0805,-0.0111
78.3,0.0805,-0.0132
78.4,0.0805,-0.01335
78.499,0.0805,-0.01125
78.6,0.08,-0.01125
78.7,0.08,-0.0114
78.8,0.08,-0.0114
78.901,0.08,-0.01635
79,0.08,-0.01365
79.101,0.08,-0.0153
79.2,0.0795,-0.0138
79.3,0.0795,-0.0138
79.399,0.079,-0.01185
79.5,0.079,-0.0117
79.6,0.079,-0.01185
79.7,0.079,-0.0141
79.801,0.0785,-0.01545
79.9,0.0785,-0.01215
80,0.0785,-0.01425
80.1,0.0785,-0.01425
80.201,0.0785,-0.01425
80.3,0.078,-0.01425
80.401,0.078,-0.0141
80.499,0.078,-0.0123
80.6,0.078,-0.01425
80.7,0.0775,-0.0126
80.799,0.0775,-0.01245
80.9,0.0775,-0.01245
81,0.0775,-0.0144
81.1,0.0775,-0.0144
81.201,0.077,-0.0144
